area_id,avg_sale_price,avg_sale_value,transaction_count,parking_score,metro_score,mall_score
342.0,9189.753295454546,11265863.44,88,0.0,0.9431818181818182,0.9431818181818182
343.0,7145.285031876687,619355.4198683725,58193,0.207516367948035,0.9995360266698744,0.9995360266698744
344.0,6116.650402684564,9761156.94488189,149,0.0,0.9530201342281879,0.9530201342281879
345.0,2922.785873605948,1725837.5175097277,269,0.0,0.0,0.05204460966542751
347.0,13156.744727272726,28545780.717948716,110,0.0,0.9545454545454546,0.9545454545454546
348.0,8568.675839053254,1037208.1543046357,4225,0.8911242603550296,0.9907692307692307,0.9907692307692307
349.0,109.72347826086956,5662686.4,23,0.0,0.0,0.0
350.0,11193.785769467466,1798966.613012035,97496,0.8258595224419464,0.9839788299007138,0.9839788299007138
351.0,11862.579225856052,2243816.945065883,33818,0.7238748595422556,0.9832929209296825,0.9832929209296825
352.0,6967.3555185254145,4049802.728139174,32226,0.00024824675727673306,0.9932663067088686,0.9932663067088686
354.0,950.07096485623,3200857.481012658,1565,0.0,0.9424920127795527,0.9424920127795527
355.0,15209.051578947368,39957027.14444444,722,0.556786703601108,0.9903047091412742,0.9833795013850416
356.0,39906.49323699422,21301759.975,173,0.0,0.9884393063583815,0.9884393063583815
357.0,3767.4494987468674,4046642.7196969697,399,0.0,0.8621553884711779,0.8621553884711779
358.0,2272.9040547945206,2314852.0240384615,365,0.0,0.9835616438356164,0.9835616438356164
359.0,1544.813906447535,3045634.409961686,791,0.0,0.9683944374209861,0.9683944374209861
360.0,6051.754230769231,18389287.39285714,78,0.0,0.9615384615384616,0.9615384615384616
361.0,12977.739769585254,20645123.40909091,217,0.0,0.9447004608294931,0.9447004608294931
362.0,29254.822595744678,9560420.274766356,1175,0.0,0.9736170212765958,0.9736170212765958
363.0,7439.900634920635,18548034.92857143,126,0.0,0.9603174603174603,0.9603174603174603
364.0,27016.15575797483,4621199.759019803,13668,0.922739244951712,0.6538630377524144,0.6538630377524144
365.0,5829.685135135135,7005949.571428572,111,0.0,0.8378378378378378,0.8378378378378378
366.0,18173.92203142288,2582952.843281388,4519,0.9918123478645718,0.9924762115512281,0.9924762115512281
367.0,30718.180141129033,10371944.724050634,992,0.0,0.9727822580645161,0.9727822580645161
368.0,17851.79395589559,15966315.723313408,2222,0.24257425742574257,0.9698469846984699,0.9698469846984699
369.0,2168.7739953361834,4482064.05472103,2573,0.0,0.9673532841041586,0.9673532841041586
370.0,22962.869879071583,3877404.3165075034,5127,0.8671737858396723,0.4468500097522918,0.4468500097522918
371.0,28920.72583291394,11250262.02736602,1987,0.8646200301962758,0.9984901862103673,0.9984901862103673
372.0,5554.773863636364,34256718.5625,88,0.0,0.9545454545454546,0.9545454545454546
373.0,5214.678,15048651.92857143,70,0.0,0.9714285714285714,0.9714285714285714
374.0,6158.335012366035,9892788.76627219,1213,0.0,0.9488870568837593,0.9488870568837593
375.0,30362.959244444442,24964589.662121214,1125,0.352,0.7644444444444445,0.7644444444444445
376.0,22885.27581938911,3261899.4770035804,3765,0.9383798140770252,0.11208499335989376,0.11208499335989376
377.0,8978.643888888888,3403692.222222222,18,0.0,0.0,0.0
378.0,9479.163656716417,20368545.19117647,536,0.0,0.9720149253731343,0.9720149253731343
379.0,9883.016666666666,4385580.857142857,9,0.0,0.0,0.0
380.0,418.6187837837838,684600.7368421053,74,0.0,0.0,0.0
382.0,3622.932264492754,1645819.071618037,1104,0.0,0.9918478260869565,0.0
383.0,1866.5125874125874,2843592.947368421,143,0.0,0.0,0.0
384.0,47182.854999999996,1350000.0,4,0.0,0.0,0.0
385.0,8265.993333333334,4810326.333333333,3,0.0,0.0,0.0
386.0,7127.952352941176,6855757.142857143,17,0.0,0.0,0.0
387.0,5059.717142857143,1595188.5714285714,7,0.0,0.0,0.0
388.0,19487.873615384615,46252628.61764706,260,0.0,0.9576923076923077,0.9576923076923077
390.0,20996.09257117786,3385833.4462254834,94587,0.991711334538573,0.9960248237072747,0.9960248237072747
391.0,760.572,16130236.692307692,70,0.0,0.0,0.0
392.0,163.59142857142857,463305.0,7,0.0,0.0,0.0
393.0,2107.5154169797147,4010912.2476489027,2662,0.0,0.9594290007513148,0.9594290007513148
394.0,1175.258440185063,3030025.3207964604,1513,0.0,0.9636483807005949,0.9636483807005949
