area_id,area_name_en,hotspot_score,predicted_probability,predicted_hotspot,cluster,final_rank
526,Business Bay,100.0,0.9533413334361767,1,2,1
330,Marsa Dubai,98.81374392219915,0.9874425066263995,1,2,2
350,Al Thanyah Fifth,94.52897849356295,0.9763525351833807,1,2,3
332,Zaabeel Second,87.46667334749397,0.9788771277020486,1,2,4
390,Burj Khalifa,86.16052716349807,0.9854573167813884,1,2,5
331,Zaabeel First,85.8576354763891,0.9522055989588193,1,2,6
441,Al Barsha South Fourth,82.80515550899355,0.9599114565602319,1,2,7
442,Al Barsha South Fifth,81.62015370728987,0.9327294004730007,1,2,8
351,Al Thanyah Third,80.6143919162169,0.967485254805954,1,2,9
375,Jumeirah Second,80.57216211530707,0.8034850869025965,1,2,10
414,Al Barshaa South Second,79.83423973110257,0.9855204355344486,1,2,11
482,Hadaeq Sheikh Mohammed Bin Rashid,79.67072674321743,0.9258552399545664,1,2,12
478,Jabal Ali Industrial Second,78.34847182702214,0.968051939588774,1,2,13
371,Al Safouh Second,78.11505103097284,0.9752166875295817,1,2,14
485,Me'Aisem First,76.54298250456333,0.9825746228823112,1,2,15
343,Al Warsan First,76.18933330126228,0.8717660478246236,1,2,16
341,Trade Center First,76.15810011229132,0.8363628992877108,1,2,17
437,Al Kheeran,74.12081035558515,0.9463378193187546,1,2,18
348,Al Goze Fourth,73.69836674447134,0.9001058783622556,1,2,19
443,Al Thanyah First,71.6169125099975,0.9818858882099597,1,2,20
312,Muhaisanah First,70.94148789417967,0.8425647233513495,1,2,21
315,Al Manara,69.15914144598489,0.4598828217161012,0,1,22
393,Al Barsha Second,68.68795441462362,0.6606978401390772,1,1,23
444,Al Hebiah First,68.14189442490935,0.9341365620644072,1,2,24
409,Al Barshaa South Third,67.97353764214772,0.8678860052612439,1,2,25
366,Al Kifaf,67.35379457395419,0.9209470549620814,1,2,26
410,Palm Jumeirah,67.2180575773446,0.9437842167427348,1,2,27
240,Port Saeed,64.65950204305932,0.7373776848725552,1,2,28
483,Warsan Fourth,62.63333366875911,0.9375352027230822,1,2,29
431,Al-Cornich,62.41306977718135,0.615323333993536,1,1,30
445,Jabal Ali First,60.77033171698114,0.8455014769419316,1,2,31
307,Al Safouh First,60.39432465985406,0.9502124521061325,1,2,32
447,Al Khairan First,60.36580372077454,0.8888203680418755,1,2,33
334,Al Jadaf,59.50785465186716,0.9574074664027377,1,2,34
452,Al Hebiah Second,58.35403759125093,0.7313407893828461,1,2,35
329,Trade Center Second,57.80826410788633,0.8316358046894625,1,2,36
326,Um Hurair Second,57.74028732751996,0.6903240020470068,1,2,37
435,Al Hebiah Fourth,57.56675918897112,0.7511956519294738,1,2,38
339,Al Mararr,57.35833872972482,0.6361148650313442,1,1,39
335,Nad Al Shiba First,56.42517975189892,0.9553771311429461,1,2,40
304,Um Suqaim Second,56.29875988856219,0.6078555055992986,1,1,41
458,Dubai Investment Park First,55.607991993032236,0.7245095342648535,1,1,42
364,Al Wasl,55.38997660056778,0.891791148040937,1,2,43
333,Madinat Dubai Almelaheyah,54.62258167028576,0.7539034478393281,1,2,44
232,Mirdif,54.450581651475986,0.829228712839581,1,1,45
254,Al Buteen,54.22937504476144,0.4255521723125423,0,1,46
242,Al Ras,52.921307169526244,0.46826496042921856,0,1,47
317,Jumeirah First,52.600323307144016,0.8120246852202051,1,2,48
255,Rega Al Buteen,52.59948020593125,0.37167443234755376,0,2,49
362,Naif,51.95592779129743,0.5586600122396737,1,1,50
374,Um Al Sheif,51.561418587413044,0.37279479015528494,0,1,51
318,Jumeirah Third,51.270144386035334,0.36111933221434156,0,1,52
237,Al Sabkha,51.05843564849546,0.19560011851663434,0,1,53
368,Al Barsha First,50.993017632297864,0.28697622056830724,0,1,54
356,Al Rega,50.5268022567784,0.2754089480807483,0,1,55
355,Al Nahda First,50.27182086999738,0.09033054275382947,0,1,56
322,Al Qusais Industrial Fourth,49.86913129663235,0.08442231813433851,0,1,57
314,Al Saffa Second,49.70615903511467,0.15836413815293857,0,1,58
484,Nadd Hessa,49.39507255336006,0.29273179819584166,0,0,59
323,Al Qusais Industrial Fifth,49.219510724044284,0.1394909861503221,0,1,60
370,Um Suqaim Third,48.62443874777959,0.670911919422941,1,2,61
