area_id,avg_sale_price,avg_sale_value,transaction_count,parking_score,metro_score,mall_score,avg_rent,contract_count,rental_yield,avg_sale_price_norm,transaction_count_norm,parking_score_norm,rental_yield_norm,avg_rent_norm,contract_count_norm,metro_score_norm,mall_score_norm,hotspot_score_raw,hotspot_score,rank
338.0,2672.388650190114,5374823.424164524,1052,0.0,0.8498098859315589,0.8498098859315589,63821.5019590757,12853,0.011874157888079136,0.02661733922270121,0.007694109723422012,0.0,0.0807357781435031,0.008281141588986227,0.10248395199553448,0.8498098859315589,0.8498098859315589,0.22387950301246046,35.7486809440251,116
339.0,29892.849245994345,7662445.268199233,1061,0.0,0.9868049010367578,0.9868049010367578,32409.173990438267,85131,0.004229612461304381,0.30115800255359887,0.007759996486039327,0.0,0.028701710339580234,0.004140362915508837,0.678840556596627,0.9868049010367578,0.9868049010367578,0.35809633286294845,57.284039288295844,39
341.0,72010.05446180556,19284317.09806452,1152,0.7560763888888888,1.0,1.0,318794.42446816975,47769,0.01653127890643147,0.7259445493093382,0.008426184863614402,0.7566224426140553,0.11243536749923785,0.041891717694455814,0.3809098520792632,1.0,1.0,0.47548154614746024,76.1187311463633,17
342.0,9189.753295454546,11265863.44,88,0.0,0.9431818181818182,0.9431818181818182,47434.02339099878,7399,0.004210420589919629,0.09235030529734721,0.0006369053719673788,0.0,0.028571077178134077,0.006120941242341745,0.05899286312347993,0.9431818181818182,0.9431818181818182,0.24066035879933886,38.44120276186657,106
343.0,7145.285031876687,619355.4198683725,58193,0.207516367948035,0.9995360266698744,0.9995360266698744,399533.7384177436,2863,0.14692716065679484,0.07173016658712453,0.4260091655807552,0.2076662404839537,1.0,0.052534788454680424,0.022822056536820703,0.9995360266698744,0.9995360266698744,0.4756557084694226,76.1466758386773,16
344.0,6116.650402684564,9761156.94488189,149,0.0,0.953020134228188,0.953020134228188,86865.2375,4,0.008899071902080873,0.061355542967895,0.0010834712074847361,0.0,0.060485283539110764,0.011318770916566792,2.3922491128742874e-05,0.953020134228188,0.953020134228188,0.23657883434275462,37.786314013105624,110
345.0,2922.785873605948,1725837.5175097275,269,0.0,0.0,0.0520446096654275,106558.2715652174,115,0.06174293378380957,0.029142800523065625,0.001961961375715603,0.0,0.42017718654544833,0.013914710178207355,0.0009090546628922292,0.0,0.0520446096654275,0.07645158362301208,12.093576904250392,141
347.0,13156.744727272726,28545780.71794872,110,0.0,0.9545454545454546,0.9545454545454546,52725.9566772152,25912,0.0018470665489300393,0.1323606664477836,0.0007979619028097044,0.0,0.012484453638320705,0.006818524831654454,0.20661855587895223,0.9545454545454546,0.9545454545454546,0.2648683533614091,42.3254238261778,81
348.0,8568.675839053254,1037208.1543046356,4225,0.8911242603550296,0.9907692307692308,0.9907692307692308,135110.4326490066,151,0.13026356579271905,0.08608622992433314,0.030922853921726525,0.8917678483960054,0.8865760386513603,0.017678461142971454,0.0011961245564371436,0.9907692307692308,0.9907692307692308,0.46012228194791266,73.65430653724351,19
350.0,11193.785769467466,1798966.613012035,97496,0.8258595224419464,0.9839788299007138,0.9839788299007138,217801.8766820825,50381,0.12107054967374507,0.11256261591625617,0.71373665793057,0.826455974963571,0.8240020074497346,0.028578862038857754,0.4017383676886887,0.9839788299007138,0.9839788299007138,0.5901550347143567,94.51832135890751,3
351.0,11862.579225856052,2243816.945065883,33818,0.7238748595422556,0.9832929209296823,0.9832929209296823,445176.0910054945,3640,0.14692716065679484,0.1193079462717825,0.2475658501588603,0.7243976566688638,1.0,0.058551371510587334,0.029017981739165106,0.9832929209296823,0.9832929209296823,0.5032955559712728,80.58154455965965,9
352.0,6967.355518525415,4049802.728139174,32226,0.0002482467572767,0.9932663067088686,0.9932663067088686,48000.0,1,0.011852429173026733,0.06993560155948016,0.23591121392699746,0.0002484260461270907,0.08058787746802686,0.006195548379850916,0.0,0.9932663067088686,0.9932663067088686,0.2814922009025249,44.99275335748359,72
355.0,15209.051578947368,39957027.14444444,722,0.556786703601108,0.9903047091412742,0.9833795013850416,66267.42446668237,12741,0.0016584673386016925,0.1530598637458687,0.005278261760787127,0.55718882626767,0.011200716862603502,0.008603563530033958,0.10159084566006141,0.9903047091412742,0.9833795013850416,0.3138479904261794,50.184304392326986,56
356.0,39906.49323699422,21301759.975,173,0.0,0.9884393063583816,0.9884393063583816,78074.75424495069,25548,0.0036651785738164426,0.40215381245081705,0.0012591692411309096,0.0,0.024859782594666525,0.010160007846589613,0.20371596028866476,0.9884393063583816,0.9884393063583816,0.31544039112246625,50.43980826364033,55
357.0,3767.449498746867,4046642.7196969697,399,0.0,0.8621553884711779,0.8621553884711779,69659.15752449325,11840,0.017214061717242393,0.03766192572748678,0.0029136590579657094,0.0,0.11708285993857284,0.009050662386442617,0.09440612415772896,0.8621553884711779,0.8621553884711779,0.23232811981217166,37.10427837914471,111
358.0,2272.904054794521,2314852.024038461,365,0.0,0.9835616438356164,0.9835616438356164,113253.21739130437,69,0.04892460348015,0.022588209538272334,0.002664753510300297,0.0,0.3329267575248302,0.0147972391306755,0.0005422431322515052,0.9835616438356164,0.9835616438356164,0.27962534799789984,44.69321308133545,74
359.0,1544.813906447535,3045634.409961686,791,0.0,0.968394437420986,0.968394437420986,10000.0,2,0.0032833881726880673,0.015244823426624969,0.005783393607519875,0.0,0.02226105284552795,0.001186381604652303,7.974163709580958e-06,0.968394437420986,0.968394437420986,0.22670576837349837,36.20216086449224,115
360.0,6051.754230769231,18389287.39285714,78,0.0,0.9615384615384616,0.9615384615384616,131598.35656716418,67,0.0071562510148316175,0.060701011865360394,0.0005636978579481398,0.0,0.04862243818278702,0.017215498647678434,0.0005262948048323432,0.9615384615384616,0.9615384615384616,0.23732301593787902,37.905719435973,109
361.0,12977.739769585254,20645123.40909091,217,0.0,0.9447004608294932,0.9447004608294932,100517.07063559322,3068,0.0048688045425454496,0.13055525468224527,0.0015812823028155609,0.0,0.03305249409953242,0.013118357994550188,0.0244567600972848,0.9447004608294932,0.9447004608294932,0.24426389220788175,39.01939689255025,100
362.0,29254.82259574468,9560420.274766356,1175,0.0,0.9736170212765958,0.9736170212765958,38675.30464237716,54317,0.004045356117288718,0.2947229806638762,0.008594562145858652,0.0,0.0274475341181618,0.004966365375265309,0.4331246760495993,0.9736170212765958,0.9736170212765958,0.32436424026789334,51.871657677540696,50
363.0,7439.900634920635,18548034.92857143,126,0.0,0.9603174603174603,0.9603174603174603,85896.26234544934,6988,0.004631016853064826,0.07470160650095851,0.0009150939252404867,0.0,0.03143394648595729,0.011191040438930789,0.05571548183884215,0.9603174603174603,0.9603174603174603,0.24256977966940016,38.74757315306569,102
364.0,27016.15575797483,4621199.759019803,13668,0.922739244951712,0.6538630377524144,0.6538630377524144,196172.2855431404,11903,0.042450509775139054,0.2721441901083279,0.10005270941009385,0.923405665976714,0.2888595943373891,0.025727645478480936,0.09490849647143257,0.6538630377524144,0.6538630377524144,0.3458178928317246,55.313939068557396,43
